,2019-10-27 00:00:00+02:00,2019-10-27 00:15:00+02:00,2019-10-27 00:30:00+02:00,2019-10-27 00:45:00+02:00,2019-10-27 01:00:00+02:00,2019-10-27 01:15:00+02:00,2019-10-27 01:30:00+02:00,2019-10-27 01:45:00+02:00,2019-10-27 02:00:00+02:00,2019-10-27 02:15:00+02:00,2019-10-27 02:30:00+02:00,2019-10-27 02:45:00+02:00,2019-10-27 02:00:00+01:00,2019-10-27 02:15:00+01:00,2019-10-27 02:30:00+01:00,2019-10-27 02:45:00+01:00,2019-10-27 03:00:00+01:00,2019-10-27 03:15:00+01:00,2019-10-27 03:30:00+01:00,2019-10-27 03:45:00+01:00,2019-10-27 04:00:00+01:00,2019-10-27 04:15:00+01:00,2019-10-27 04:30:00+01:00,2019-10-27 04:45:00+01:00,2019-10-27 05:00:00+01:00,2019-10-27 05:15:00+01:00,2019-10-27 05:30:00+01:00,2019-10-27 05:45:00+01:00,2019-10-27 06:00:00+01:00,2019-10-27 06:15:00+01:00,2019-10-27 06:30:00+01:00,2019-10-27 06:45:00+01:00,2019-10-27 07:00:00+01:00,2019-10-27 07:15:00+01:00,2019-10-27 07:30:00+01:00,2019-10-27 07:45:00+01:00,2019-10-27 08:00:00+01:00,2019-10-27 08:15:00+01:00,2019-10-27 08:30:00+01:00,2019-10-27 08:45:00+01:00,2019-10-27 09:00:00+01:00,2019-10-27 09:15:00+01:00,2019-10-27 09:30:00+01:00,2019-10-27 09:45:00+01:00,2019-10-27 10:00:00+01:00,2019-10-27 10:15:00+01:00,2019-10-27 10:30:00+01:00,2019-10-27 10:45:00+01:00,2019-10-27 11:00:00+01:00,2019-10-27 11:15:00+01:00,2019-10-27 11:30:00+01:00,2019-10-27 11:45:00+01:00,2019-10-27 12:00:00+01:00,2019-10-27 12:15:00+01:00,2019-10-27 12:30:00+01:00,2019-10-27 12:45:00+01:00,2019-10-27 13:00:00+01:00,2019-10-27 13:15:00+01:00,2019-10-27 13:30:00+01:00,2019-10-27 13:45:00+01:00,2019-10-27 14:00:00+01:00,2019-10-27 14:15:00+01:00,2019-10-27 14:30:00+01:00,2019-10-27 14:45:00+01:00,2019-10-27 15:00:00+01:00,2019-10-27 15:15:00+01:00,2019-10-27 15:30:00+01:00,2019-10-27 15:45:00+01:00,2019-10-27 16:00:00+01:00,2019-10-27 16:15:00+01:00,2019-10-27 16:30:00+01:00,2019-10-27 16:45:00+01:00,2019-10-27 17:00:00+01:00,2019-10-27 17:15:00+01:00,2019-10-27 17:30:00+01:00,2019-10-27 17:45:00+01:00,2019-10-27 18:00:00+01:00,2019-10-27 18:15:00+01:00,2019-10-27 18:30:00+01:00,2019-10-27 18:45:00+01:00,2019-10-27 19:00:00+01:00,2019-10-27 19:15:00+01:00,2019-10-27 19:30:00+01:00,2019-10-27 19:45:00+01:00,2019-10-27 20:00:00+01:00,2019-10-27 20:15:00+01:00,2019-10-27 20:30:00+01:00,2019-10-27 20:45:00+01:00,2019-10-27 21:00:00+01:00,2019-10-27 21:15:00+01:00,2019-10-27 21:30:00+01:00,2019-10-27 21:45:00+01:00,2019-10-27 22:00:00+01:00,2019-10-27 22:15:00+01:00,2019-10-27 22:30:00+01:00,2019-10-27 22:45:00+01:00,2019-10-27 23:00:00+01:00,2019-10-27 23:15:00+01:00,2019-10-27 23:30:00+01:00,2019-10-27 23:45:00+01:00
2019-10-26 19:45:00+02:00,25.756315789473682,10.54242825607064,,,,,,,,,,,-27.980000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 20:00:00+02:00,25.240000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,
2019-10-26 20:15:00+02:00,25.240000000000002,12.06,,,,,,,-20.608817733990143,,,,-10.494864864864866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.103281249999995,,,,,,,,,,
2019-10-26 20:30:00+02:00,25.24,13.419999999999998,,,,,,,,,,,,,,,,,,,,,,,,,12.716764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 20:45:00+02:00,25.220000000000002,12.602352941176468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 21:00:00+02:00,21.96912280701754,9.956428571428571,,,,,,,,,,,,,,,,,,,-8.304923076923076,,,,,,,,1.8717537313432837,7.308795811518324,32.01045454545454,43.254252336448594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.274832214765105,,,55.44921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 21:15:00+02:00,19.544842105263157,6.0479552715654945,-19.660412979351037,-23.91628,,,,,,,,,-36.367339901477834,,,,,-11.896666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 21:30:00+02:00,25.310281690140844,9.010387096774194,,,-0.7882142857142855,-21.159162640901773,-47.153999999999996,-50.99651162790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 21:45:00+02:00,,20.699375,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4621319796954317,,28.844705882352944,,,,,,20.71402390438247,22.8136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 22:00:00+02:00,,10.72255319148936,,,,,,,,,,,-39.266213017751475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 22:15:00+02:00,,12.366470588235293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 22:30:00+02:00,23.257636363636358,6.215074626865671,-22.102903225806454,-27.202162162162164,,,-56.18896501457726,-55.87196765498652,-20.657530864197536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 22:45:00+02:00,,10.441666666666668,,,,,,,,,,,,,,,,,,,,,,,,15.137751196172252,13.549583333333333,16.68109243697479,,,,,,,,,,,,,,,,,,,,,,,28.45731707317073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 23:00:00+02:00,18.96403846153846,10.47777777777778,,,,,,,-27.821141552511413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.29,,,,,,,,,,,,,,,,,,,,
2019-10-26 23:15:00+02:00,15.585984251968503,3.908604651162791,,,,,,,,,,,,,,,,,,,,,,12.105835962145111,3.7513274336283184,11.470379008746356,12.876386768447837,13.527443365695795,,,19.00294117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1305,30.54384615384615,,,,,,,,,,,,,,37.29,,,,,,,,,,,,,,,,,,,,
2019-10-26 23:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,9.023645833333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26 23:45:00+02:00,,,,,,,,,,,,,-39.82190476190476,,,,,,,,,,,,,9.587309644670052,-1.391188118811881,9.144305555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.34,,,,,,,,,,,,,,,,,,,,,
2019-10-27 00:00:00+02:00,3.8849370629370634,2.3346303501945527,,-105.3283486238532,-10.950888888888889,-25.121940298507464,-77.9811,-91.35842465753426,,,,,-44.06319098457889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 00:15:00+02:00,0.24494791666666693,0.4486354378818737,-72.24584795321638,-74.57923170731709,,,-84.07027972027971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35857142857143,,,,,,,,,,,51.3165625,,,52.8237786259542,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 00:30:00+02:00,-6.649736842105263,-3.35998347107438,-74.9705072463768,-76.80776923076922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.51658163265306,37.28903225806451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.50153846153846,,,,38.53275862068966,,,
2019-10-27 00:45:00+02:00,-6.421796690307329,-19.052782608695654,,,,,,,,,,,,,,,,,,,,,,,-6.717068062827225,,,,,,,,,,,38.28632478632478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,
2019-10-27 01:00:00+02:00,-8.707951635846374,-31.546934097421207,,,-11.496504237288136,-32.45209302325582,-73.937,-75.1383914209115,,,,,,,,,,,,,,,,,,,,,,-1.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.66,,,,,,
2019-10-27 01:15:00+02:00,-12.075828698553948,-38.77259210526315,-67.0669181818182,-68.65254684247051,-16.39111464968153,-37.067733333333344,,-74.9378988326848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 01:30:00+02:00,-30.035239379635875,-59.193714285714286,-66.94963800904976,-69.00302816901407,-25.73414979757085,-38.72516431924883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 01:45:00+02:00,-41.199278350515456,-62.61477999999999,-70.52802845528454,-69.22790754257909,-36.68617449664429,,,,,,,,-52.816595744680846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 02:00:00+02:00,-51.36170212765956,,-73.56944906444906,-72.34108818011256,,,-74.80564784053156,,,,,,-64.95960975609755,,,,,,,,,,,,,,,,,,3.542682926829267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 02:15:00+02:00,,-63.96974947807933,-61.91892607003891,-91.56290121430916,-50.48609561752988,-92.82492822966505,-66.51314102564102,-60.78369243421054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 02:30:00+02:00,,,-81.15225649350648,,-50.525639846743296,-83.48570129870129,-81.4059097978227,-60.89283524904214,,,,,-67.4236170212766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 02:45:00+02:00,,,,-78.68777408637874,-41.993853211009174,-70.8712408759124,-81.60459374999999,,,,,,-67.96960784313725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.66974789915965,,,,,,,,,,,,,,,
2019-10-27 02:00:00+01:00,,,,,-56.347815256875975,-82.2238029925187,-86.11059377945332,-82.04411951348493,,,,,-81.18215987701768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 02:15:00+01:00,,,,,,-78.76773960216998,-97.06733496332518,-94.21022130013831,,,,,-90.24524890829697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 02:30:00+01:00,,,,,,,-98.7139179632249,,,,,,-79.63119170984456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 02:45:00+01:00,,,,,,,,-93.49433098591548,,,,,-94.9744673231871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 03:00:00+01:00,,,,,,,,,-54.855423728813555,,,,-69.07238961038962,,,,,,,,,,,3.383929824561404,,,,,,,,,-0.7026106194690265,6.009057591623037,33.470186246418336,36.6910300925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 03:15:00+01:00,,,,,,,,,-77.49356328734252,,,,-73.70323834196891,,,,-58.72111940298508,-75.14083146067415,,-9.359023668639056,-53.69165048543689,,-13.073027888446216,,,,,,,,,12.687162629757788,-2.4023868312757206,4.2758984374999995,29.363503401360543,31.771822033898314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.316571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 03:30:00+01:00,,,,,,,,,-91.48196366447623,,,,-74.10013736263737,,,,-66.36544401544401,-88.61640540540542,-70.4266800804829,-22.608764705882354,-51.59478947368421,-41.6955,-20.986804123711337,,,,,,,,,,-3.46476404494382,-2.6507364341085267,,29.880097087378644,,,,,,,,,,,,,,,,25.593320158102763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 03:45:00+01:00,,,,,,,,,-106.24929917106253,,,,-84.04629991850041,,,,,-94.56399794450155,-85.31459276018099,,-67.44149947201691,-61.70082792207794,,,,,,,,,-1.768963730569948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 04:00:00+01:00,,,,,,,,,-105.28786545924967,,,,,,,,-75.25080491132331,-70.52446524064172,-83.14561044460127,-39.96817391304348,-71.44065789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 04:15:00+01:00,,,,,,,,,,,,,,,,,,-96.39404179408767,,-77.08454301075268,-85.53166666666668,-61.570060483870975,-47.14178571428572,-57.11652542372882,,-43.862570281124505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 04:30:00+01:00,,,,,,,,,,,,,,,,,,,-95.4616637063351,-89.3,-84.95163708086785,-65.17286746987952,-53.216870748299314,-76.51791208791208,-61.808820224719106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.971883656509693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 04:45:00+01:00,,,,,,,,,,,,,,,,,,,,-87.20173364854216,,-70.83114285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,-67.51460410557183,-68.70893223819301,-77.21013708019191,-71.70916149068321,-66.87745575221238,-50.30930915371329,-45.81972549019607,-12.485030303030301,-60.85605504587155,-48.30718213058419,,-7.887669172932333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 05:15:00+01:00,,,,,,,,,,,,,,,,,,,,,,-64.75056910569106,-63.63427884615384,-70.96317790167258,-59.85544041450777,,,,,-34.438323353293406,,1.172,-22.165518001469508,3.1579837398373987,20.817529801324504,20.99368232890705,22.67153284671533,22.31687285223368,,25.96866043613707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 05:30:00+01:00,,,,,,,,,,,,,,,,,,,,,,,-60.91742206235011,,-75.41126486486486,-39.46862637362638,0.0970333988212185,-3.8109874326750446,-72.05590579710145,,,,-12.112734839476813,8.00470588235294,10.433794642857144,4.569424460431654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 05:45:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,-50.76600714285714,,-59.89301587301588,-18.221846758349706,,-73.5953195164076,-43.36902564102564,0.6367881944444445,0.826656282450675,,,,-0.0009779614325068871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,-72.07042372881352,,-53.4759428182437,-4.085401709401709,,-46.11158974358974,3.958368794326241,4.879006849315069,-23.42111111111111,,,11.785264705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 06:15:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,-49.83263392857143,-49.03057996485061,-29.081246797608884,-80.06959827833572,-43.717614795918365,4.753437945791727,13.531258023106547,-32.522400000000005,2.115153846153846,21.152054054054055,23.182724358974358,26.87491094147583,28.984064171123,31.316307692307696,29.472557840616968,25.59736170212766,28.273053763440863,27.763921113689094,26.018099173553722,28.029629629629625,28.43221153846154,,23.771910112359556,,,,,28.02165966386555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 06:30:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.08566259398496,-36.403537211291706,-86.10613132911391,-62.311077348066306,-30.745708418891173,-20.159297752808985,-53.34582554517134,-26.996033333333337,15.733986301369862,12.489553158705702,20.916335877862597,22.573320312499998,28.369760479041915,25.827425897035884,,,28.5609793814433,,28.578436018957344,28.03173184357542,,,19.363564668769715,28.74,30.085818181818183,25.677192307692305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 06:45:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.27123940677966,-90.84441830896377,-64.23004273504273,-34.00781071835804,-11.498238636363634,-61.40521126760563,-38.9859375,2.7433628318584065,-10.170471698113207,10.813908296943232,20.6109375,22.37449152542373,23.299999999999997,24.75139737991266,24.108456790123455,24.679601063829786,24.959873417721518,27.401121076233185,,24.349076923076925,,,29.94472222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.25631276901004,,-38.55958904109589,-11.390793010752688,-70.87414790996785,-46.62411864406779,14.491583629893238,-4.514018691588785,0.7575369458128081,15.492209737827716,21.21548387096774,22.166167400881054,,,,,,,,,18.028796680497926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 07:15:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.10143987341773,-59.07142857142857,-11.932853361566966,-72.41570312500001,-32.43702521008403,4.2435138387484965,1.4449378881987578,-16.406299862448417,4.89038961038961,21.541104166666667,20.734859060402684,21.899955290611032,18.73007246376812,19.972234762979685,21.27377938517179,25.11629268292683,23.857692307692307,10.47374269005848,21.379181818181817,13.971121495327102,24.90450549450549,28.598674698795175,24.764671532846716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
